sentiment,headline
negative,A decline of 3.4 per cent was observed in Asian traffic.
positive,The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .
negative,The operating profit and turnover for the year decreased from EUR0.4 m in the previous year and EUR5.6 m in the previous year.
neutral,Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .
negative,"Outokumpu is being asked by the prosecutor to pay a maximum fine of EUR 800,000."
negative,Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .
neutral,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .
neutral,The EA Reng group posted sales of approximately 84 million kroons for 2007 .
neutral,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .
negative,"Eric Schultze, chief technology officer at Shavlik Technologies LLC, a St. Paul, Minn.-based maker of patch management tools, expressed his disgust at the ""souring environment."""
neutral,The company will propose a dividend of EUR0 .12 per share for 2008 .
positive,"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur ."
negative,"The operating loss for the first half of 2006 was EUR 0.9 mn, which was a significant increase from the EUR 0.5 mn profit recorded in the first half of 2005."
negative,"The Finnish textile company Suominen Flexible Packaging Ltd, which is owned by Suominen Corporation Group (HEL: SUY1V), has announced the commencement of employee negotiations for its entire workforce in Finland."
positive,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 ."
positive,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .
neutral,"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday ."
negative,"The prosecutor is requesting that Outokumpu pay a maximum penalty of EUR 800,000."
positive,"Teleste has highlighted Poland's attractiveness as a market due to its large size, growing economy, and rapid expansion of its TV services distribution sector."
neutral,"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation ."
negative,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 ."
negative,"The price of Acando AB (ACANB SS) dropped by 8.9 percent to 13.35 kronor, the lowest level since Dec. 11."
positive,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57"
positive,The new partnership agreement is a significant milestone for both parties.
negative,"The OMX Helsinki index dropped by 0.34 percentage to 8,256.02, reflecting a turnover of 813.191 mln eur."
neutral,The inventor was issued U.S. Patent No. .
positive,"The sales of department stores saw a 14 % increase, amounting to EUR 1,070.6 million."
neutral,"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital ."
negative,The airline's share price in Helsinki fell slightly at (x20ac) 12.51 (around $ 15US .74).
neutral,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms ."
negative,"Excluding certain items, Qualcomm projected a profit of 46 to 50 cents per share during the first quarter, which is lower than the analyst's prediction of 61 cents per share."
negative,"The company's annual loss was EEK 18mn, which was higher than its profit of EEK 7.3mn in 2008."
negative,"According to the company, the total headcount will be reduced to 50 employees."
neutral,Scanfil expects net sales in 2008 to remain at the 2007 level .
neutral,"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act ."
neutral,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries ."
neutral,"The deal , already approved by shareholders , will be carried out in the first half of 2011 ."
negative,"Small businesses are currently facing difficulties due to their susceptibility to financial challenges, according to him."
neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 ."
positive,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year ."
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
positive,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .
neutral,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .
positive,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .
negative,"Fortum, a Finnish power company, received an average rating of 4.5 among all index figures."
positive,"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''"
negative,The application process for summer work is considered to be strenuous and demanding.
negative,"In Finland, snow storms caused trees to fall on power lines, leading to the cessation of electricity for approximately 2,000 households."
negative,"Despite the decrease in operating profit, it was close to EUR 1.7 million."
negative,"EUR 12.7 mn of operating loss was recorded, whereas EUR 17.7 mn of profit was recorded in the first half of 2008."
negative,"According to Kauppalehti, a Finnish daily, Rautaruukki, a Finnish supplier, has exceeded Aker's comfort zone in terms of pricing."
positive,"Bruce Hansen, the SVH sales representative for Wolverine, expressed that it gives them a feeling of pride and exposure."
neutral,`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .
neutral,Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .
neutral,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .
positive,It is evident that a shift in interests in the sector is taking place.
positive,"In 2008, the construction industry in Finland and Sweden is projected to maintain an annual growth rate of approximately 4%."
negative,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent ."
negative,"On Thursday, Cencorp Corporation, a Finnish automation solutions company with the OMX Helsinki symbol CNC1V, issued a profit warning for its third quarter of 2008."
neutral,"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner ."
negative,The Expense Ratio increased to 102.6 % from 92.9 % in 2005.
positive,1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .
negative,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland ."
neutral,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .
positive,`` Stonesoft sees great promise in the future of IPv6 .
neutral,Autotank Group is part of Aspo 's Systems Division .
positive,"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said ."
neutral,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. ."
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
neutral,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .
negative,The primary individuals affected by the personnel reductions will be those employed by the parent company in the diagnostics business and the production and logistics in the liquid handling business.
positive,"Marimekko Oyj, a Finnish textile and clothing company, announced on Friday that it would open its first concept store in Seoul in collaboration with Look Inc., a Japanese player in the sector."
negative,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .
positive,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara ."
positive,"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 ."
positive,The new ropax vessels are 30 % cheaper than the existing ones.
neutral,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .
neutral,Insurance policies should be simple .
neutral,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi ."
neutral,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .
positive,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .
negative,"Scanfil, a communications sector systems supplier and contract manufacturer, has announced that it will be appointing 20 productional employees and temporarily dismiss 15 others from their plant in Finland."
neutral,The objective of the St. Petersburg office is first to boost the Company 's maintenance business .
neutral,"When completed , the 120-meter Watchtower will be the highest building in Ireland ."
negative,"The Commission income experienced a decline of EUR 3.8 mn, which was lower than EUR 4.6 mn in the third quarter of 2007."
neutral,"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix ."
neutral,The lay-offs will start gradually and will last from one to six weeks .
positive,EB had previously supplied a tailored solution for LG Electronics and is now making it available for commercial use by other mobile terminal vendors and wireless carriers.
neutral,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .
neutral,"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products ."
positive,"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing ."
negative,"All branches and staff of Forest Industry in Finland will be covered, as will temporary and permanent layoffs."
neutral,"Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro ."
negative,Scanfil has cautioned against making profits.
neutral,M-real will start statutory employer-employee negotiations at the +_+Ænekoski board mill that concern about 130 people .
positive,"The Nokian tyre's exceptional safety features, such as stability, handling, and wet road braking, make it a reliable choice for drivers with a mark of 1.4, 1.5, and 1.9 respectively."
positive,"EUR 1.3 mn increased the profit, to EUR 5.9 mn EUR."
negative,"The first half of the year saw a group EBIT of EUR13.6 m US$, which was lower than the EUR22.5 m recorded in 2009."
neutral,Export accounts for about one tenth of the company 's annual turnover of one billion kroons .
positive,"According to Tallink, the doors of Vana Tallinn and Regina Baltica, as well as their electrical systems, are fully operational and water-resistant."
negative,"The pretax loss was EUR 1.2 mn, which was a decrease from EUR 2.1 mn in 2004."
positive,"A press release was issued by Vaisala Oyj on September 30, 2010, announcing that the company had agreed to sell its oxygen measurement technology and business to SICK Maihak GmbH."
neutral,The company then said it will focus its resources on clinical research .
neutral,The group said it intends to initiate within this year the process of buyout of minority shareholders of Ragutis with the aim of becoming the sole owner of the company .
negative,"The airline estimated that the closure of European airspace and the process of rerouting traffic led to the cancellation of flights, resulting in a loss of EUR20m, including the costs of stranded passengers' accommodation."
negative,"Excluding non-recurring items, the operating profit reached EUR 0.2 mn, a decrease from EUR 0.8 mn in the same period in 2006."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ."
neutral,"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) ."
neutral,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .
positive,Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .
negative,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
positive,"The diluted loss per share was EUR 0.27, which was a decrease from EUR 0.86."
negative,"EUR 2.916 billion was lost in value due to the company's investment properties in 2009, as the fair value dropped to EUR 2.768 billion at the end of the year."
negative,"Due to previous employer-employee talks, the company will terminate the employment contracts of 14 employees in March 2009."
positive,"The EBIT stood at EUR 14.4 mn, while the corresponding loss was EUR 0.3 mn in the same period in 2009."
positive,The Lean System is an excellent tool for implementing change management and component procurement.
negative,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills ."
negative,The operating margin declined to 2.4 % from 5.7 %.
neutral,"The segment has an annual revenue of approximately EUR400m , the company said ."
neutral,`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . ''
negative,"The FTSE 100 index rose by 36.7 points on the day, but this represented a relative price increase of -0.2 % compared to the previous day's index."
neutral,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ."
neutral,"Uncertainties still exist , however ."
negative,The company's net profit for the third quarter decreased to EUR1.4 m from EUR1 .5 m in 2009.
neutral,"On preliminary estimate , the hotel will operate under the brand Novotel ."
neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
negative,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .
positive,The world's largest facility for producing diesel fuel from renewable feedstocks like palm oil and animal fat will be opened next year.
positive,"Its previous patent dispute with Nokia Oyj will result in a portion of the winnings being recorded, which amounts to 12.5 million dollars."
positive,"The operating profit and net sales both grew in the nine-month period, increasing from EUR3.1 m in the previous year and EUR61.5 m in the previous year."
neutral,The new SEPA cads will replace Finnish bank cards .
positive,"`` Our decision and resolve on MeeGo is only stronger , '' she continued ."
negative,"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 ."
positive,"The antibody was generally well tolerated when administered at doses of up to 8 mg-kg or more, and the pharmacokinetic characteristics of BTT-1023 in individuals with psoriasis were in agreement with those reported in a previous study conducted in rheumato"
negative,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .
neutral,"However , the brokers ' ratings on the stock differ ."
positive,"Nordic Aluminium's order book reached EUR 8.77 mn by the end of the review period, which was a rise from EUR 7.04 in 2005."
neutral,"`` My wife is looking forward to getting a paycheck again , '' he quipped recently as a six-knot current swirled around his anchored and heavily sponsored jet sled ."
neutral,"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States ."
positive,"The demand for lining stone has surpassed the demand for the previous half of the year and will remain brittle for the rest of the year, in addition to the export of fireplaces."
positive,The through service provided by FESCO is a clear demonstration of enhancing the connection between logistics companies and operators at the global level.
positive,"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business ."
negative,"The earnings per share ( EPS) fell to EUR1,37, compared to EUR2.30."
positive,"The Department Store Division and Hobby Hall experienced a 7% increase in sales, while Seppala, a subsidiary of the clothing store, experienced a 4% decline in sales."
positive,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 ."
positive,"Atria Eesti's general director, Kaido Kaare, reports that the company has invested more than 150 million euros in upgrading pig farms in the past years."
negative,"EUR 1.0 mn was the non-recurring operating profit, which was a decrease from EUR 1.6 mn."
positive,The value of the firm 's forestry holdings increased by SEK 3.6 bn .
positive,The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .
neutral,Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .
neutral,"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 ."
negative,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said ."
negative,EPS showed a loss of EUR0 .38.
positive,"The Department Store Division and Hobby Hall experienced a 7% increase in sales, while Seppala, a subsidiary that specializes in clothing stores, experienced a 4% decline in sales."
neutral,The company expects to open its first online shop in the US in the summer in 2011 .
neutral,"After the transaction , Herttaassa 's holding in Alma Media has fallen below the flagging limit of 5 % ."
positive,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .
negative,Finnair is of the opinion that the strike will lead to daily net losses exceeding EUR 2mn caused by canceled reservations and passenger re-routing.
neutral,The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .
positive,Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .
neutral,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ."
negative,"EUR 0.8 mn of profit was recorded during the period, which was a decrease from EUR 1.1 mn in the same period in 2008."
negative,"In 2007, Aldata Solution Oyj, a retail software developer from Finland, reported a net loss of 11.7 million euros or 17.2 million euros, while its net profit for 2006 was 2.5 million euros or 3.7 million pounds."
negative,"The Anjalankoski, Hollola, Jyvaskyla, Jarvenpaa, Karhula, Turku and Valkeakoski units will undergo a personnel cut."
negative,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 ."
neutral,Valga Lihatoostus markets its products under the Maks & Moorits trademark .
negative,The group's operating loss decreased to EUR 0.8 mn from EUR 2.5 mn in 2004.
positive,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 ."
neutral,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur ."
negative,"Despite this, the dollar experienced a decrease in value compared to the pound and the yen."
neutral,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported ."
positive,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .
negative,"Despite this, the company's net profit for the third quarter decreased to EUR1.4 m from EUR1 .5 m in 2009."
negative,"The Seikku sawmill in Pori and Alholma sawmill in Pietarsaari will have a capacity boost, and 60 workers will be laid off for roughly six weeks starting in mid-May, according to the company's statement."
neutral,"The wireless industry is bracing itself for the iPhone , which will launch on June 29 ."
negative,"EUR 9.4 million was the total operating profit, which was lower than the previous year's figure of EUR 11.7 million."
negative,The pretax profit rose to EUR 4.9 million from EUR 5.2 million in the first quarter of 2005.
negative,"According to Postimees, Elcoteq, a global electronic industry corporation, has terminated tens of employees from its Tallinn office. This is in contrast to previous employee layoffs, as the company has reduced the number of office employees."
positive,Our ISO certification indicates that we are progressing in delivering quality services to our customers.
negative,"Bank of America BofA's ratings on Stora Enso Oyj HEL and UPM-Kymmene Oyj HEL: UPM1V were downgraded by ADP News on May 29, 2009, resulting in an underperform rating."
negative,"Lemminkainen Oyj, a construction company based in Finland, reported a net profit of EUR 63.5 million (USD 81.1 million) for 2008 on February 12th, 2009, as reported by ADP News."
positive,"Blyk will receive extended application and business process management services, as well as an IT infrastructure from TietoEnator as part of the agreement."
negative,"Fiskars Oyj Abp (HEL: FISAS) has announced the termination of 18 office and management staff members from its subsidiary Iittala Group Ltd., according to an announcement made on December 1, 2009."
positive,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago ."
neutral,The plant will collect raw material from the Baltic Sea region .
negative,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan ."
neutral,The technology park will be built near St. Petersburg-based Pulkovo airport .
neutral,"The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively ."
positive,"With a record-breaking 65.4 % of net sales, the company was able to maintain its position."
negative,"Negotiations are being held by the Finnish Vaahto Group, a provider of paper-making technology and process machinery, regarding the temporary dismissal of all 140 employees from their Hollola and Tampere plants in Finland."
negative,"Swedbank, Nordea, DnB NOR, and SEB, among other Nordic banks, suffered over-earning losses of more than $ 1.35 billion between 2007 and 2010, despite facing a near-term economic crisis."
neutral,The venture recently agreed to buy Motorola 's wireless networks business for $ 1.2 billion and to deploy LightSquared 's national 4G network .
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 ."
neutral,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .
negative,"The OMX Nordic 40 OMXN40 index, which tracks the 40 most traded stocks in the Nordic market on the Nasdaq OMX exchange, experienced a decline of 0.77% on Thursday, closing at 1,064.14."
positive,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm ."
neutral,"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape ."
negative,"Stora Enso, a Finnish-Swedish football team, finds it difficult to comprehend the ruling made by a Brazilian federal judge in relation to Veracel, the associated pulp company of Stora Enso."
positive,"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 ."
neutral,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) ."
positive,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten ."
positive,There has been an upsurge in export sales in other regions.
neutral,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .
positive,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .
negative,"On Monday, a note was released by a Goldman Sachs analyst indicating that they have lowered their price predictions for paper and packaging."
negative,The daily losses incurred by Finnair due to flight cancellation are estimated to be x20ac 2.5 million US$.
neutral,"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising ."
negative,The consequence will be accompanied by heightened fixed expenses linked to operations in China and restructuring expenses in Japan.
negative,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .
neutral,"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros ."
negative,Finnlines' board has determined that the offer is too low and it will remain valid until 4 pm tomorrow.
negative,"Net sales for the current fiscal year are forecasted to be lower than in 2007, and the operating profit is anticipated to be negative."
positive,"The TWIG navigation platform, a GPS satellite navigation and voice guidance service, will be supplied by Benefon, a company that specializes in wireless and GPS technology, to Karputer."
negative,The actual market shares of the association's members are lower than the reported ones because the association's data does not include sales figures from approximately 100 local breweries or the volume of imported beer products.
negative,"By 1411 CET, ArcelorMittal had experienced a decline of 7.26 percent, falling to EUR 17.38 on Euronext Paris, putting them ahead of the blue-chip fallers."
positive,"A 22 % increase in commission income to EUR 4.4 mn was observed, with a 13.5 % increase in lending volume."
neutral,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks ."
neutral,"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services ."
neutral,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience ."
negative,The cost of building has gone up in Russia.
neutral,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .
negative,"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 ."
negative,"The OMX Helsinki index dropped to 9,364.80, a 0.33 pct drop, and the OMX Helsinki CAP portfolio index fell to 5,029.25, a 0.34 pct decrease."
neutral,The order was worth EUR 8mn .
positive,"Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device ."
positive,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself ."
negative,"Arokarhu reported that when the total sum key was pressed, a few purchases that had been scanned into the cash register computer disappeared."
negative,"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 ."
positive,"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 ."
neutral,The statutory negotiations at headquarters are part of this decrease .
positive,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi ."
neutral,"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn ."
positive,"Viking Line's Managing Director, Nils-Erik Eklund, has stated that the company's Board of Directors is very pleased with the company's performance."
positive,At least EUR7m is the estimated synergy benefit each year.
negative,"Due to uncertainties in housing sales, SRV reduced its net sales estimate for the entirety of 2008."
neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .
negative,"According to a survey conducted by Taloustutkimus for Sampo Life, companies are ill-prepared to lose important employees."
neutral,"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany ."
neutral,"Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents ."
positive,"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said ."
neutral,Both companies ' existing investment plans will be coordinated .
positive,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .
negative,"EUR 1.22 million was the operating profit for the first quarter of 2008, which was a decrease from EUR 3.56 million in the same period."
neutral,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ."
positive,Net cash flow from operations is expected to remain positive .
neutral,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .
positive,"Outotec announces the creation of a new subsidiary in India by establishing a subsidiary in Kolkata to better serve its Indian customers and expand its business in the growing Indian market, according to a press release issued on December 4, 2009."
neutral,He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .
negative,"Aero AS, a subsidiary of Finnair based in Tallinn, experienced a 60.8 % decline in passenger numbers, with a total of 23,335 passengers traveling between Helsinki and the Baltic capitals."
neutral,The resignation will be in effect immediately .
neutral,Russia 's Video International Group holds a controlling stake in Russian Media Ventures .
negative,"The OMX Helsinki index fell by 0.34 percentage to 8,256.02, reflecting a turnover of 813.191 mln eur."
negative,"In addition, the country's sales of new passenger cars and light commercial vehicles decreased by 5.4 % year-on-year last month."
positive,"H+_kan Dahlstr+¦m , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 ."
neutral,"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country ."
positive,"Relacom's acquisition enables it to expand its presence in Finland, providing construction, installation, and maintenance services for mobile and fixed networks to both the office market."
negative,"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 ."
neutral,"The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava ."
positive,"Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever ."
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."
positive,"The adapter, which has been certified as  Certified Integration for SAP; and NetWeaver, enables the integration of Basware's invoice automation and procurement solutions with over 200 ERPs."
neutral,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work ."
positive,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak ."
positive,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ."
negative,"However, the production of Finnish sawmills has decreased even more."
neutral,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program ."
negative,"The implementation of a new information system by Hobby Hall led to a 26 percent drop in sales, with the principal of posting sales being modified."
